date,open,high,low,close,volume
2026-02-26,304.58,309.01,303.64,306.13,7007804
2026-02-27,300,302.95,294.45,300.3,18620790
2026-03-02,294.81,299.98,293.21,297.56,8508910
2026-03-03,292.285,302.39,289.5,300.26,10278220
2026-03-04,299.99,301,295.82,299.39,8055673
2026-03-05,297.98,301.24,292.43,293.55,12732490
2026-03-06,286.34,289.99,283.71,289.48,13496530
2026-03-09,285.5,291.1,280.45,289.92,12241050
2026-03-10,289.29,292.75,287.18,288.73,8344876
2026-03-11,288.81,290.483,284.86,287.52,10204990
2026-03-12,282.83,283.88,279.1,282.89,13760510
2026-03-13,284.665,287.19,282.95,283.44,9091183
2026-03-16,286.34,289.27,284.61,286.16,8149008
2026-03-17,289,291.76,285.95,286.89,8961193
2026-03-18,286.83,289.405,285.122,287.74,10057040
2026-03-19,286.88,289.51,284.62,287.97,9846696
2026-03-20,288.08,290.71,285.27,286.56,22436490
2026-03-23,294.31,295.75,287.97,289.91,11470840
2026-03-24,286.17,295.48,285.37,292.4,11092330
2026-03-25,294.15,297.64,292.44,295.42,12188160
2026-03-26,292.58,294.99,290.73,291.66,8669196
2026-03-27,289.14,290.11,281.75,282.84,9873292
2026-03-30,284.74,287.25,282.33,283.77,11734350
2026-03-31,288.47,295.072,284.945,294.16,12956880
2026-04-01,295.39,298.72,292.91,295.38,11267170
2026-04-02,291.91,295.62,288.72,294.6,6669252
2026-04-06,294.06,296.83,293.195,295.45,7142621
2026-04-07,293.14,298.18,292.698,297.4,7849083
2026-04-08,307.97,311.26,305.33,307.97,10590170
2026-04-09,306.95,311.26,306.11,310.33,6586601
2026-04-10,310,310.35,306.72,309.87,6069693
2026-04-13,307.47,313.74,305.457,313.68,8318221
2026-04-14,309.82,314.32,308.87,311.12,11455510
2026-04-15,313.95,314.24,304.26,305.93,9885824
2026-04-16,305.35,309.95,305.2,309.95,8208612
2026-04-17,312.47,314.9,310.09,310.29,11082390
2026-04-20,310.85,317.13,310.37,316.99,10772000
2026-04-21,317.49,320.235,312.75,313,7084264
2026-04-22,314.85,315.149,311.94,313.02,5545909
2026-04-23,313.52,314.99,308.89,311.69,6969656
2026-04-24,311.15,311.15,307.89,308.28,5215321
2026-04-27,306.88,312.58,306.88,311.63,7925317
2026-04-28,315.2,315.45,311.17,311.45,7398596
2026-04-29,310.57,312.045,307.29,309.25,8031805
2026-04-30,307.07,314.1,306.57,313.23,8865387
2026-05-01,313.95,316.08,311.83,312.47,6135359
2026-05-04,310.62,310.65,306.51,307.65,7338179
2026-05-05,307.71,310.97,306.8,309.4,6316845
2026-05-06,311.45,316.26,311.35,314.9,8629538
2026-05-07,314.65,316.3,306.14,306.27,8359599
2026-05-08,308.25,308.99,300.5,302.1,9464267
2026-05-11,302.1,303.19,298.88,300,9511957
2026-05-12,300.02,306.062,295.55,304.88,9498214
2026-05-13,302.27,303,300.071,300.25,7709525
2026-05-14,302.25,303.75,298.81,299.91,7364315
2026-05-15,300.205,300.79,296.45,297.81,8699281
2026-05-18,298,301.26,297.22,300.73,7546296
2026-05-19,301.09,301.79,295.26,295.7,8066927
2026-05-20,296.7,302.925,293.67,301.98,9327002
2026-05-21,301.23,303.975,300.21,303,7874388
2026-05-22,304.68,307.45,303.84,306.38,5978568
